SEXO,ADH,PD,CSAT,AHT,email_identifier,MOTIVO BAJA,ESTADO
M,0.999197,6.500991,0.584642,489.542326,103,NO ESPECIFICADO,0
M,0.976531,9.2107,0.528217,355.26748,103,NO ESPECIFICADO,0
M,0.866429,8.605631,0.558271,368.613475,103,NO ESPECIFICADO,0
M,0.25,0.0,0.0,518.0,103,NO ESPECIFICADO,0
F,0.994444,0.0,0.595652,516.285714,104,CONTRATADO,1
F,0.997531,5.61619,0.636,538.035714,104,CONTRATADO,1
F,0.988943,2.857943,4.25,265.22276,99,CONTRATADO,1
F,0.999326,4.385902,4.121076,242.618144,99,CONTRATADO,1
F,0.965992,4.823617,4.253165,227.185629,99,CONTRATADO,1
F,0.998429,26.526857,4.121339,208.247379,99,CONTRATADO,1
M,0.9995,3.55,4.346667,274.080808,105,RENUNCIA VOLUNTARIA,0
M,0.980901,3.410608,4.382222,220.08125,105,RENUNCIA VOLUNTARIA,0
M,0.989358,4.479725,4.251908,202.608491,105,RENUNCIA VOLUNTARIA,0
F,0.995833,6.219519,0.652838,499.48,104,CONTRATADO,1
F,0.99619,5.305447,0.652778,519.807915,104,CONTRATADO,1
F,0.996078,5.470986,0.60582,533.811898,104,CONTRATADO,1
M,0.968597,3.096758,4.236994,209.330935,105,RENUNCIA VOLUNTARIA,0
M,0.953715,5.545278,4.052632,268.847222,105,RENUNCIA VOLUNTARIA,0
M,0.995775,4.814215,3.876543,206.335329,105,RENUNCIA VOLUNTARIA,0
F,0.896878,1.633778,3.764706,556.732143,106,BAJO PERFORMANCE,0
F,0.99951,5.116196,0.665761,555.099379,104,CONTRATADO,1
F,0.60253,3.043714,4.164179,420.044025,106,BAJO PERFORMANCE,0
F,0.161806,3.092784,5.0,354.833333,106,BAJO PERFORMANCE,0
F,0.999879,2.179394,4.328244,346.682028,107,CONTRATADO,1
F,0.9872,3.512765,4.272727,268.668966,107,CONTRATADO,1
F,0.998287,3.379471,4.398827,246.153939,107,CONTRATADO,1
F,0.904267,4.046121,4.584,222.951768,107,CONTRATADO,1
M,0.0,0.0,3.416667,303.821429,108,CONTRATADO,1
M,0.974369,4.052155,4.453125,214.828425,108,CONTRATADO,1
M,0.967945,3.098449,4.10356,172.629905,108,CONTRATADO,1
M,0.940053,4.615287,4.075697,163.670775,108,CONTRATADO,1
M,0.937656,4.606203,4.106383,188.123188,108,CONTRATADO,1
F,0.99065,5.447454,0.640693,671.032761,104,CONTRATADO,1
F,0.974806,5.524591,0.543568,497.041835,104,CONTRATADO,1
F,0.997619,4.13408,0.606272,519.356704,109,CONTRATADO,1
F,0.994345,6.487463,0.605556,486.163094,109,CONTRATADO,1
F,0.997561,6.195041,0.642718,439.321216,109,CONTRATADO,1
F,0.983333,6.596585,0.649123,430.726128,109,CONTRATADO,1
F,0.992453,6.852972,0.63807,409.348107,109,CONTRATADO,1
F,0.959877,2.167315,0.492308,804.327103,110,RENUNCIA,0
F,0.99883,3.544987,0.555024,507.651652,111,CONTRATADO,1
M,0.992949,2.138326,0.535714,722.909091,112,CONTRATADO,1
M,0.933949,5.060706,4.177215,155.547655,108,CONTRATADO,1
M,0.0,0.0,4.2,415.2,113,DESVINCULACIÓN/AUSENTISMO,0
M,0.796421,5.048947,4.091463,226.324561,113,DESVINCULACIÓN/AUSENTISMO,0
M,0.327698,3.764774,4.035714,212.977528,113,DESVINCULACIÓN/AUSENTISMO,0
F,0.646471,4.256733,4.288889,0.0,114,NO ESPECIFICADO,0
F,0.375361,6.918335,4.542857,0.0,114,NO ESPECIFICADO,0
F,0.397778,8.784139,4.590909,0.0,114,NO ESPECIFICADO,0
F,0.858066,2.379803,4.142857,449.413333,115,RENUNCIA VOLUNTARIA,0
F,0.937143,3.027953,4.132353,340.301136,115,RENUNCIA VOLUNTARIA,0
F,0.863902,3.210247,4.098361,324.781145,115,RENUNCIA VOLUNTARIA,0
F,0.552905,4.345161,4.166667,287.151515,115,RENUNCIA VOLUNTARIA,0
