SEXO,ESTADO,ADH,PD,CSAT,AHT,email_identifier,PERFORMANCE_GROUP,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
F,ACTIVO,0.998934,10.555402,4.242424,0.0,181,0.0,34.0,38.0,31.0,36.0,35.0
F,ACTIVO,0.818187,4.252338,3.954545,0.0,182,0.0,,,,,
M,INACTIVO,0.997593,2.583656,4.333333,0.0,183,0.0,,,,,
F,INACTIVO,0.642509,3.889025,4.335616,140.865337,184,0.0,,,,,
F,ACTIVO,0.999951,11.942205,4.442786,0.0,185,0.0,32.0,31.0,37.0,29.0,42.0
M,INACTIVO,0.0,0.0,0.0,0.0,186,1.0,,,,,
F,ACTIVO,0.982036,10.835442,4.293362,0.0,187,0.0,,,,,
M,INACTIVO,0.989704,13.967789,4.113164,0.0,188,1.0,,,,,
M,ACTIVO,0.999356,10.843553,4.229381,0.0,189,0.0,,,,,
F,INACTIVO,0.990861,12.258248,4.155906,0.0,190,0.0,,,,,
F,ACTIVO,0.237989,16.097346,4.545455,0.0,191,0.0,,,,,
F,ACTIVO,0.997579,10.911701,4.093407,0.0,192,1.0,22.0,35.0,34.0,25.0,31.0
F,ACTIVO,0.980013,11.115831,4.378275,0.0,193,0.0,32.0,37.0,35.0,32.0,32.0
F,ACTIVO,0.498835,9.268037,3.945946,0.0,194,0.0,36.0,45.0,48.0,35.0,41.0
F,INACTIVO,0.862874,0.0,4.4375,336.618785,195,1.0,,,,,
M,ACTIVO,0.838299,4.016703,4.226667,291.97861,196,0.0,,,,,
F,INACTIVO,0.874757,3.425084,4.916667,172.787879,197,0.0,,,,,
F,ACTIVO,0.971996,12.503434,4.224283,0.0,198,0.0,,,,,
M,INACTIVO,0.589874,3.241505,3.894737,323.77551,199,0.0,,,,,
M,ACTIVO,0.993414,7.890883,4.278689,0.0,200,0.0,30.0,39.0,44.0,33.0,37.0
M,ACTIVO,0.186764,9.373544,4.115385,0.0,201,0.0,27.0,39.0,42.0,41.0,42.0
F,ACTIVO,0.999048,12.439829,4.233766,0.0,202,0.0,,,,,
M,INACTIVO,0.761667,12.176257,4.433333,0.0,203,0.0,,,,,
M,INACTIVO,0.996288,7.71312,4.0625,0.0,204,1.0,,,,,
F,INACTIVO,0.377222,12.779302,4.285714,0.0,205,0.0,,,,,
F,INACTIVO,0.29412,2.914174,5.0,312.0,206,0.0,,,,,
F,ACTIVO,0.997813,6.324598,4.072848,0.0,207,0.0,,,,,
F,ACTIVO,0.952283,11.906541,4.369645,0.0,208,0.0,,,,,
F,ACTIVO,0.531338,4.858524,4.125,0.0,209,0.0,,,,,
F,ACTIVO,0.98001,10.549497,4.176471,0.0,210,0.0,29.0,37.0,38.0,36.0,36.0
M,INACTIVO,0.614015,21.360692,4.168317,0.0,211,1.0,,,,,
F,INACTIVO,0.999987,13.530614,4.198327,0.0,212,1.0,,,,,
F,ACTIVO,0.999767,13.813294,4.304348,0.0,213,0.0,24.0,44.0,37.0,32.0,38.0
F,INACTIVO,0.648646,3.782727,4.394737,342.012048,214,0.0,,,,,
M,INACTIVO,0.694199,5.009351,3.760563,204.828794,215,1.0,,,,,
M,INACTIVO,0.745833,4.052742,3.847458,261.475806,216,1.0,,,,,
F,INACTIVO,0.926925,1.527111,4.1,0.0,217,1.0,,,,,
M,INACTIVO,0.753929,15.998332,4.147368,0.0,218,0.0,,,,,
F,ACTIVO,0.932424,15.17305,4.339759,0.0,219,0.0,36.0,41.0,37.0,35.0,38.0
F,ACTIVO,0.977411,5.099988,4.385776,176.375114,220,0.0,33.0,36.0,37.0,35.0,34.0
M,INACTIVO,0.977429,1.348259,2.52381,0.0,221,0.0,,,,,
F,INACTIVO,0.718139,4.215317,3.555556,292.062015,222,1.0,,,,,
M,INACTIVO,0.455941,1.55864,4.0,300.431193,223,0.0,,,,,
F,INACTIVO,0.929881,0.0,4.4,367.814815,224,1.0,,,,,
M,ACTIVO,0.931444,5.031805,4.24,154.550308,225,0.0,,,,,
M,ACTIVO,0.996477,13.052241,4.355109,0.0,226,0.0,,,,,
M,ACTIVO,0.966206,8.546423,4.008621,319.54386,227,0.0,,,,,
M,INACTIVO,0.886479,3.857302,3.541096,306.535885,228,1.0,,,,,
